timestamp_ist,corridor_id,corridor_name,route_status,traffic_data_status,weather_api_status,distance_km,reference_duration_min,actual_duration_min,reference_speed_kmh,actual_speed_kmh,delay_ratio,congestion_index,temperature_c,humidity_pct,weather_condition,rain_1h_mm
2026-09-01 12:28:12,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,15.73,25.12,23.76,1.057,0.057,25.59,72,Clear,0
2026-09-01 12:28:12,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,21.75,26.53,24.86,1.067,0.067,25.59,72,Clear,0
2026-09-01 12:28:12,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.2,23.92,29.31,23.53,1.246,0.246,25.59,72,Clear,0
2026-09-01 13:39:23,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,16.05,25.12,23.29,1.079,0.079,28.36,60,Rain,0.2
2026-09-01 13:39:23,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,21.7,26.53,24.91,1.065,0.065,28.36,60,Rain,0.2
2026-09-01 13:39:23,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.2,23.9,29.31,23.55,1.245,0.245,28.36,60,Rain,0.2
2026-09-01 14:38:21,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,15.37,25.12,24.32,1.033,0.033,31.14,53,Rain,0.2
2026-09-01 14:38:21,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,24.68,26.53,21.9,1.211,0.211,31.14,53,Rain,0.2
2026-09-01 14:38:21,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.2,22.05,29.31,25.52,1.148,0.148,31.14,53,Rain,0.2
2026-09-01 15:38:34,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,16.78,25.12,22.28,1.128,0.128,27.25,61,Rain,0.24
2026-09-01 15:38:34,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,27.5,26.53,19.66,1.349,0.349,27.25,61,Rain,0.24
2026-09-01 15:38:34,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.63,20.62,24.53,28.02,23.55,1.19,0.19,27.25,61,Rain,0.24
2026-09-01 16:11:03,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,18.85,25.12,19.83,1.267,0.267,32.08,60,Rain,0.36
2026-09-01 16:11:03,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,24.02,26.53,22.51,1.179,0.179,32.08,60,Rain,0.36
2026-09-01 16:11:03,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,24.37,24.03,23.09,23.42,0.986,-0.014,32.08,60,Rain,0.36
2026-09-01 17:10:26,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,17.77,25.12,21.04,1.194,0.194,30.3,61,Rain,0.27
2026-09-01 17:10:26,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,25.7,26.53,21.04,1.261,0.261,30.3,61,Rain,0.27
2026-09-01 17:10:26,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,23.95,23.88,23.5,23.57,0.997,-0.003,30.3,61,Rain,0.27
2026-09-01 18:14:22,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,18.7,25.12,19.99,1.257,0.257,23.36,76,Rain,0.55
2026-09-01 18:14:22,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,23.98,26.53,22.54,1.177,0.177,23.36,76,Rain,0.55
2026-09-01 18:14:22,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.2,22.27,29.31,25.27,1.16,0.16,23.36,76,Rain,0.55
2026-09-01 19:10:53,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,17.9,25.12,20.88,1.203,0.203,22.25,79,Rain,1.17
2026-09-01 19:10:53,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,22.42,26.53,24.11,1.1,0.1,22.25,79,Rain,1.17
2026-09-01 19:10:53,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.2,20.03,29.31,28.1,1.043,0.043,22.25,79,Rain,1.17
2026-09-01 20:16:18,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,15.73,25.12,23.76,1.057,0.057,22.25,81,Rain,0.7
2026-09-01 20:16:18,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,20.97,26.53,25.78,1.029,0.029,22.25,81,Rain,0.7
2026-09-01 20:16:18,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.2,18.6,29.31,30.26,0.969,-0.031,22.25,81,Rain,0.7
2026-09-01 21:38:23,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,12.25,25.12,30.51,0.823,-0.177,21.14,83,Rain,0.6
2026-09-01 21:38:23,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,18.67,26.53,28.96,0.916,-0.084,21.14,83,Rain,0.6
2026-09-01 21:38:23,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,8.45,20.85,16.62,24.32,30.51,0.797,-0.203,21.14,83,Rain,0.6
2026-09-01 22:19:28,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,11.83,25.12,31.6,0.795,-0.205,21.7,83,Rain,0.52
2026-09-01 22:19:28,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,17.45,26.53,30.98,0.856,-0.144,21.7,83,Rain,0.52
2026-09-01 22:19:28,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,8.45,20.85,15.43,24.32,32.86,0.74,-0.26,21.7,83,Rain,0.52
2026-09-02 06:13:54,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,10.28,25.12,36.36,0.691,-0.309,19.47,90,Clear,0
2026-09-02 06:13:54,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,13.73,26.53,39.37,0.674,-0.326,19.47,90,Clear,0
2026-09-02 06:13:54,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,8.45,20.85,15.58,24.32,32.54,0.747,-0.253,19.47,90,Clear,0
2026-09-02 07:15:31,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,10.78,25.12,34.68,0.724,-0.276,20.59,87,Clear,0
2026-09-02 07:15:31,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,14.63,26.53,36.95,0.718,-0.282,20.59,87,Clear,0
2026-09-02 07:15:31,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,8.45,20.85,14.92,24.32,33.98,0.716,-0.284,20.59,87,Clear,0
2026-09-02 08:16:03,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,12.55,25.12,29.78,0.843,-0.157,21.7,83,Clouds,0
2026-09-02 08:16:03,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,20.2,26.53,26.76,0.991,-0.009,21.7,83,Clouds,0
2026-09-02 08:16:03,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.2,16.33,29.31,34.46,0.851,-0.149,21.7,83,Clouds,0
2026-09-02 09:09:56,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.09,14.6,14.38,25.03,25.41,0.985,-0.015,23.36,76,Clouds,0
2026-09-02 09:09:56,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,21.3,26.53,25.38,1.045,0.045,23.36,76,Clouds,0
2026-09-02 09:09:56,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.2,19.27,29.31,29.21,1.004,0.004,23.36,76,Clouds,0
2026-09-02 10:10:58,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.09,14.6,14.38,25.03,25.41,0.985,-0.015,25.03,68,Clouds,0
