timestamp_ist,corridor_id,corridor_name,route_status,traffic_data_status,weather_api_status,distance_km,reference_duration_min,actual_duration_min,reference_speed_kmh,actual_speed_kmh,delay_ratio,congestion_index,temperature_c,humidity_pct,weather_condition,rain_1h_mm
2026-09-01 12:28:12,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,15.73,25.12,23.76,1.057,0.057,25.59,72,Clear,0
2026-09-01 12:28:12,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,21.75,26.53,24.86,1.067,0.067,25.59,72,Clear,0
2026-09-01 12:28:12,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.22,24.28,29.28,23.18,1.263,0.263,25.59,72,Clear,0
2026-09-01 13:39:23,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,16.05,25.12,23.29,1.079,0.079,28.36,60,Rain,0.2
2026-09-01 13:39:23,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,21.7,26.53,24.91,1.065,0.065,28.36,60,Rain,0.2
2026-09-01 13:39:23,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.22,23.92,29.28,23.53,1.245,0.245,28.36,60,Rain,0.2
2026-09-01 14:38:21,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,15.6,25.12,23.96,1.048,0.048,31.14,53,Rain,0.2
2026-09-01 14:38:21,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,24.68,26.53,21.9,1.211,0.211,31.14,53,Rain,0.2
2026-09-01 14:38:21,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.22,22.05,29.28,25.52,1.147,0.147,31.14,53,Rain,0.2
2026-09-01 15:38:34,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,16.87,25.12,22.16,1.134,0.134,27.25,61,Rain,0.24
2026-09-01 15:38:34,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,27.5,26.53,19.66,1.349,0.349,27.25,61,Rain,0.24
2026-09-01 15:38:34,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.63,20.62,24.53,28.02,23.55,1.19,0.19,27.25,61,Rain,0.24
